Date,barley,cows,calves
Jan-92,66.98,47.79,96.25
Feb-92,69.53,51.65,90.11
Mar-92,68.97,53.49,101.5
Apr-92,69.42,54.24,99.91
May-92,71.41,55.18,111.25
Jun-92,73.03,55.38,100
Jul-92,70.43,55.08,104.5
Aug-92,68.79,55.16,90
Sep-92,65.87,54.12,103.75
Oct-92,68.03,56.06,116
Nov-92,68.11,51.16,110.4
Dec-92,72.55,53.55,107
Jan-93,74.84,58.59,107
Feb-93,74.94,56.39,105
Mar-93,75.62,58.79,113.57
Apr-93,74.2,57.71,113.57
May-93,75.1,60.17,113.57
Jun-93,73.72,60.81,113.57
Jul-93,70.12,62.78,113.57
Aug-93,66.78,63.45,125
Sep-93,56.16,64.31,138.6
Oct-93,52.26,61.59,127.7
Nov-93,60.38,56.15,112.11
Dec-93,65.6,52.8,117.41
Jan-94,71.97,55.9,107.44
Feb-94,73.02,58.22,107.72
Mar-94,69.9,61.98,112.13
Apr-94,66.99,62.49,112.79
May-94,64.8,60.09,108.29
Jun-94,65.26,57.29,101.98
Jul-94,60.51,58.19,105.6
Aug-94,66.33,58.24,109.57
Sep-94,72.79,58.24,103.83
Oct-94,80.06,49.22,100.52
Nov-94,85.01,46.51,104.75
Dec-94,88.44,56.07,106.76
Jan-95,90.96,51.92,98.75
Feb-95,92.6,55.82,99.95
Mar-95,96.34,55.4,101.83
Apr-95,97.4,51.72,99.62
May-95,100.05,48.21,97.39
Jun-95,110.28,50.04,93.96
Jul-95,113.47,50.58,90
Aug-95,104.13,48.56,88.83
Sep-95,103.47,46.02,86.1
Oct-95,112.52,39.42,86.94
Nov-95,125.34,35.89,86.65
Dec-95,132.08,38.79,81.63
Jan-96,133.53,40.69,69.4
Feb-96,135.23,41.09,69.79
Mar-96,133.75,42.36,70.33
Apr-96,144.4,39.88,70.32
May-96,152.2,42.96,68.26
Jun-96,159.28,42.91,71.16
Jul-96,150.06,45.58,72.39
Aug-96,124.46,44.51,78.28
Sep-96,112.44,41.87,81.75
Oct-96,107.4,39.35,81.01
Nov-96,93.5,34.7,81.48
Dec-96,99,35.94,80.33
Jan-97,104.53,40.05,78.53
Feb-97,102.35,43.01,84.58
Mar-97,103.55,51.74,87.69
Apr-97,104.61,53.48,89.94
May-97,99.35,53.51,91.52
Jun-97,93.8,51.25,89.8
Jul-97,90.53,54.53,91.71
Aug-97,95.7,50.64,98.29
Sep-97,96.42,45.56,97.86
Oct-97,110.11,42.53,96.62
Nov-97,114.8,40.3,100.25
Dec-97,110.62,42.98,100.08
Jan-98,122.54,48.81,102.01
Feb-98,106.65,47.31,102.67
Mar-98,100.86,49.27,99.76
Apr-98,103.27,51.33,99.07
May-98,106.14,52.28,98.82
Jun-98,101.5,51.19,97.7
Jul-98,92.13,52.73,93.97
Aug-98,83.09,51.29,91.85
Sep-98,87.44,45.87,95.32
Oct-98,92.05,42.8,100.03
Nov-98,90.33,42.76,104.99
Dec-98,93,44.05,103.27
Jan-99,91.18,49.67,102.48
Feb-99,87.7,51.96,103.05
Mar-99,84.87,53.42,105.91
Apr-99,87.5,53.3,103.15
May-99,90.2,54.37,101.88
Jun-99,88.9,54.9,85.61
Jul-99,82.71,56.64,104.84
Aug-99,81.25,52.61,107.89
Sep-99,76.52,50.32,112.47
Oct-99,81.65,50.04,114.57
Nov-99,78.83,48.21,117.85
Dec-99,76.9,52.45,121.45
Jan-00,78.29,54.05,120.34
Feb-00,76.48,55.2,122.2
Mar-00,77.73,58.71,124.29
Apr-00,78.22,57.68,127.4
May-00,77.14,60.38,122.4
Jun-00,77.08,58.86,118.38
Jul-00,76.45,62.37,120.15
Aug-00,75.28,57.72,127.15
Sep-00,73,54.52,125.13
Oct-00,80.01,53.08,127.77
Nov-00,88.29,52.8,129.96
Dec-00,91.01,53.44,130.62
1-Jan,88.43,55.28,133.39
1-Feb,88.23,61.81,135.35
1-Mar,92.37,62.16,137.21
1-Apr,94.41,66.76,134.73
1-May,99.14,65.13,127.53
1-Jun,100.6,70.55,132.01
1-Jul,113.76,63.54,132.82
1-Aug,115.46,64.07,136.26
1-Sep,121.02,51.92,129.05
1-Oct,124.63,51.92,123.36
1-Nov,131.6,49.2,119.77
1-Dec,131.49,50.58,118.85
2-Jan,134.78,52.87,121.39
2-Feb,133.16,56.75,124.29
2-Mar,130.17,63.33,126.06
2-Apr,127.82,58.2,115.9
2-May,121.74,56.93,113.29
2-Jun,127.02,55.69,106.24
2-Jul,137.92,50.96,100.39
2-Aug,150.66,53.48,105.8
2-Sep,152.44,47.56,105.73
2-Oct,155.03,47.56,109.54
2-Nov,155.61,44.28,113.29
2-Dec,153.16,47.33,116.49
3-Jan,142.91,53.53,122.48
3-Feb,144.16,54.44,124.03
3-Mar,123.21,55.22,119.03
3-Apr,132.52,57.98,122.17
3-May,120.66,57.97,121.25
3-Jun,109.49,36.98,110.28
3-Jul,100.56,23.54,77.2
3-Aug,91.57,12.09,66.4
3-Sep,93.85,17.8,91.69
3-Oct,93.31,17.8,94.65
3-Nov,99.96,15.91,99.61
3-Dec,98.33,14.34,98.97
4-Jan,99.59,20.4,84.07
4-Feb,97.43,22.57,76.69
4-Mar,102.35,29.46,89.24
4-Apr,115.47,29.58,94.19
4-May,117.61,21.99,89.68
4-Jun,118.01,21.75,81.78
4-Jul,107.18,20.38,80.43
4-Aug,93.8,20.71,77.13
4-Sep,77.19,19.66,81.36
4-Oct,75.1,18.96,84.04
4-Nov,76.5,17.67,88.52
4-Dec,76.4,17.85,94.3
5-Jan,75.52,18.68,92.19
5-Feb,72.27,18.59,98.96
5-Mar,72.29,24.41,90.78
5-Apr,73.99,19.92,88.19
5-May,71.35,18.47,90.51
5-Jun,74.27,21.61,91.71
5-Jul,73.45,29.6,91.14
5-Aug,68.32,33.35,101.36
5-Sep,66.21,31.16,103.83
5-Oct,69.56,27.38,105.87
5-Nov,70.79,22.27,108.91
5-Dec,74.05,28.54,108
6-Jan,77.61,25.62,107.97
6-Feb,73.25,27.05,106.51
6-Mar,73.53,31.85,103.52
6-Apr,74.61,33.8,101.42
6-May,74.47,32.04,101.36
6-Jun,73.38,28.78,104.47
6-Jul,72.23,32.61,98.28
6-Aug,72.6,31.27,103.59
6-Sep,81.22,27.35,104.93
6-Oct,98.99,29.27,103.08
6-Nov,110.94,22.98,96.42
6-Dec,115.41,24.23,91.6
7-Jan,121.91,24.61,91.24
7-Feb,128.07,30.87,96.78
7-Mar,136.06,32.24,101.99
7-Apr,142.26,33.52,106.1
7-May,141.26,32.69,105.48
7-Jun,147.19,34.99,98.69
7-Jul,148.06,37.46,94.38
7-Aug,145.81,34.64,95.85
7-Sep,154.81,34.42,92.71
7-Oct,152.48,25.57,84.91
7-Nov,156.7,23.27,84
7-Dec,158.11,21.79,87.02
8-Jan,176.93,23.99,82.16
8-Feb,170.72,29.86,85.28
8-Mar,243.04,34.2,85.49
8-Apr,191.37,39.55,87.07
8-May,203.07,36.82,89.91
8-Jun,202.13,38.45,90.99
8-Jul,201.01,47.81,94.74
8-Aug,178.69,44.66,97.24
8-Sep,155.56,38.47,94.75
8-Oct,149.09,35.3,92.13
8-Nov,150.26,30.45,94.08
8-Dec,153.14,30.36,85.93
9-Jan,147.12,34.84,89.87
9-Feb,134.02,36.97,92.78
9-Mar,126.82,42.19,97.89
9-Apr,126.1,44.92,102.45
9-May,124.25,43.55,99.43
9-Jun,129.47,39.64,94.62
9-Jul,131.13,42.14,92.71
9-Aug,122.59,35.72,90.11
9-Sep,111.88,30.71,89.6
9-Oct,108.3,29.47,87.98
9-Nov,112.78,26.94,86.81
9-Dec,113.9,27.55,83.41
10-Jan,114.46,32.55,84.41
10-Feb,111.39,36.02,89.28
10-Mar,110.06,45.77,93.96
10-Apr,107.79,42.67,96.64
10-May,107.06,53.23,98.21
10-Jun,108.63,49.95,95.7
10-Jul,112.2,53,98.34
10-Aug,117.74,54.85,98.21
10-Sep,124.04,48.44,102.53
10-Oct,124.64,48.15,105.57
10-Nov,140.59,43.41,108.83
10-Dec,147.16,43.79,108.61
11-Jan,158.12,49.52,110.47
11-Feb,158.19,54.42,118.49
11-Mar,163.3,60.13,121.46
11-Apr,169.25,63.42,119.38
11-May,170.34,61.52,107.97
11-Jun,174.01,63.63,113.22
11-Jul,172.45,63.32,115.56
11-Aug,163.96,63.39,119.36
11-Sep,173.35,59.7,121.35
11-Oct,182.2,58.11,129.18
11-Nov,189.61,52.15,128.92
11-Dec,192.26,56.33,128.42
12-Jan,193.2,59.38,131.28
12-Feb,188.34,63.24,135.31
12-Mar,192.18,66.14,135.38
12-Apr,196.77,66.87,124.47
12-May,205.67,68.97,125.46
12-Jun,202.97,71.54,131.38
12-Jul,212.41,70.19,128.38
12-Aug,220.33,69.18,115.93
12-Sep,211.43,64.37,124.28
12-Oct,232.42,53.89,124.86
12-Nov,244.07,51.72,126.61
12-Dec,245.77,57.44,126.31
13-Jan,248.34,59.03,122.38
13-Feb,251.73,60.07,122.1
13-Mar,257.56,62.56,120.34
13-Apr,260.87,63.14,119.5
13-May,253.25,63.64,121.3
13-Jun,258.65,61.91,121.58
13-Jul,240.13,69.43,122.02
13-Aug,211.46,70.96,126.2
13-Sep,210.6,65.59,129.73
13-Oct,195.5,64.41,134.93
13-Nov,200.91,58.96,135.59
13-Dec,188.06,58.14,135.52
14-Jan,182.11,69.92,150.76
14-Feb,184.83,75.59,153.61
14-Mar,171.99,85.93,160.45
14-Apr,185.2,90.09,168.56
14-May,190.18,94.86,175.19
14-Jun,173.83,98.5,179.96
14-Jul,169.07,108.14,192.84
14-Aug,161.86,115.66,199.03
14-Sep,154.09,110.93,210.26
14-Oct,188.65,111.75,225.35
14-Nov,194.34,110.34,225.12
14-Dec,199.62,112.99,226.34
15-Jan,196.42,117.32,226.07
15-Feb,205.92,120.78,228.63
15-Mar,218.59,128.71,238.23
15-Apr,206.71,132.06,248.18
15-May,188.38,133.26,245.46
15-Jun,188.72,130.34,243.33
15-Jul,212.56,129.92,237.35
15-Aug,205.38,133.34,239.65
15-Sep,237.52,120.65,234.51
15-Oct,235.55,102.17,222.51
15-Nov,234.63,90.15,210.44
15-Dec,229.83,89.81,194.28
16-Jan,237.55,95.16,204.21
16-Feb,226.86,95.71,199.55
16-Mar,204.18,95.65,190.88
16-Apr,213.47,91.12,180.52
16-May,204.12,87.38,171.48
16-Jun,177.6,88.86,168
16-Jul,178.84,86.73,160.51
16-Aug,169.57,89.18,161.16
16-Sep,210.78,78.45,148.22
16-Oct,223.21,75.5,144.67
16-Nov,216.1,69.41,153.06
16-Dec,207.89,79.23,161.67
17-Jan,204.76,81.92,166.14
17-Feb,207.77,80.64,162.33
17-Mar,190.76,87.85,171.5
17-Apr,166.11,93.97,181.08
17-May,145.03,97.42,194.55
17-Jun,146.01,98.62,185.39
17-Jul,154.39,93.47,168.05
17-Aug,159.73,86.44,161.94
17-Sep,210.39,75.75,163.99
17-Oct,204.22,74.15,176.01
17-Nov,199.84,71.81,180.03
17-Dec,198.43,74.36,180.36
18-Jan,207.57,77.54,176.74
18-Feb,203.84,76.94,179.74
18-Mar,201.73,77.74,177.65
18-Apr,206.9,79.22,169.31
18-May,204.34,80.32,171.66
18-Jun,207.25,78.74,168.91
18-Jul,209.38,80.14,174.03
18-Aug,211.17,76.88,172.83
18-Sep,212.2,73.04,176.84
18-Oct,215.34,67.17,177.7
18-Nov,220.13,61.81,171.68
18-Dec,214.91,61.85,169.94
19-Jan,223.14,70.84,172.67
19-Feb,224.79,69.34,167.9
19-Mar,225.22,74.36,171.88
19-Apr,238.62,79.48,180.66
19-May,243.25,82.75,175.59
19-Jun,236.84,74.37,164.24
19-Jul,236.15,75.89,167.82
19-Aug,215.64,80.15,170.04
19-Sep,203.65,74.07,166.69
19-Oct,198.81,70.65,170.87
19-Nov,195.17,64.33,171.67
19-Dec,199.49,68.2,174.72
20-Jan,186.64,72.63,177.1
20-Feb,197.34,73.7,173.56
20-Mar,192.11,74.74,169.99
20-Apr,201.66,67.2,161.14
20-May,207.12,71.87,162.95
20-Jun,197.52,76.04,171.9
20-Jul,203.05,79.17,171.86
20-Aug,206.67,79.99,170.38
20-Sep,209.47,72.73,168.13
20-Oct,209.91,64.79,165.5
20-Nov,210.63,55.12,165.97
20-Dec,220.53,59.21,168.17
21-Jan,229.58,63.42,166.23
21-Feb,237.11,67.77,173.87
21-Mar,247.06,74.88,174.01
21-Apr,252.58,79.14,176.02
21-May,258.93,84.85,181.64
21-Jun,265.68,87.94,184.21
21-Jul,273.66,76.57,179.23
21-Aug,246.34,68.26,182.97
21-Sep,257.04,67.55,183.57
21-Oct,271.91,59.93,177.01
21-Nov,285.01,51.83,172.73
21-Dec,301.68,63.15,175.21
22-Jan,324.4,67.91,176.54
22-Feb,345.73,74.25,177.31
22-Mar,387.62,85.55,179.34
22-Apr,400.77,93.55,182.87
22-May,414.61,93.54,187.91
22-Jun,404.69,96.01,188.41
22-Jul,388.48,105.29,201.1
22-Aug,340.07,107.08,213.18
22-Sep,332.45,96.09,217.03
22-Oct,358.51,95.21,215.35
